parcode,trial,fix_item,fix_time
mar,143,3,664.000000
mar,143,0,456.000000
mar,143,2,282.000000
mar,143,0,332.000000
mar,144,3,492.000000
mar,144,0,372.000000
mar,144,2,192.000000
mar,144,0,332.000000
mar,145,3,712.000000
mar,145,0,386.000000
mar,145,2,308.000000
mar,145,0,246.000000
mar,146,3,690.000000
mar,146,0,292.000000
mar,146,2,194.000000
mar,146,0,150.000000
mar,147,3,674.000000
mar,147,0,52.000000
mar,147,1,210.000000
mar,147,0,664.000000
mar,148,3,712.000000
mar,148,0,52.000000
mar,148,1,200.000000
mar,148,0,74.000000
mar,148,2,158.000000
mar,148,0,252.000000
mar,149,0,1122.000000
mar,149,2,258.000000
mar,149,0,282.000000
mar,150,0,908.000000
mar,150,1,216.000000
mar,150,0,866.000000
mar,151,0,2362.000000
mar,151,1,116.000000
mar,151,0,636.000000
mar,152,0,2618.000000
mar,152,2,180.000000
mar,152,0,412.000000
mar,153,3,638.000000
mar,153,0,202.000000
mar,153,1,102.000000
mar,153,0,434.000000
mar,154,3,702.000000
mar,154,0,310.000000
mar,154,2,236.000000
mar,154,0,80.000000
mar,154,1,88.000000
mar,155,3,468.000000
mar,155,0,204.000000
mar,155,1,274.000000
mar,155,0,658.000000
mar,156,3,714.000000
mar,156,0,52.000000
mar,156,1,144.000000
mar,156,0,944.000000
mar,157,3,684.000000
mar,157,0,312.000000
mar,157,1,820.000000
mar,157,0,148.000000
mar,158,3,718.000000
mar,158,0,496.000000
mar,158,2,180.000000
mar,158,0,250.000000
mar,158,1,70.000000
mar,159,3,688.000000
mar,159,0,2092.000000
mar,159,2,1302.000000
mar,160,3,406.000000
mar,160,0,1064.000000
mar,160,1,156.000000
mar,160,0,352.000000
mar,161,0,902.000000
mar,161,2,150.000000
mar,161,0,336.000000
mar,162,3,644.000000
mar,162,0,816.000000
mar,162,1,128.000000
mar,163,3,682.000000
mar,163,0,48.000000
mar,163,1,320.000000
mar,163,0,76.000000
mar,163,2,30.000000
mar,164,3,480.000000
mar,164,0,368.000000
mar,164,2,164.000000
mar,164,0,354.000000
mar,165,3,636.000000
mar,165,0,218.000000
mar,165,1,84.000000
mar,165,0,76.000000
mar,165,2,176.000000
mar,165,0,844.000000
mar,166,3,674.000000
mar,166,0,394.000000
mar,166,2,162.000000
mar,166,0,344.000000
mar,167,3,662.000000
mar,167,0,364.000000
mar,167,2,208.000000
mar,167,0,772.000000
mar,168,0,1200.000000
mar,168,2,252.000000
mar,168,0,100.000000
mar,169,3,658.000000
mar,169,0,348.000000
mar,169,2,170.000000
mar,169,0,284.000000
mar,170,3,458.000000
mar,170,0,340.000000
mar,170,2,140.000000
mar,170,0,734.000000
mar,171,3,650.000000
mar,171,0,400.000000
mar,171,2,126.000000
mar,171,0,476.000000
mar,172,3,700.000000
mar,172,0,370.000000
mar,172,2,202.000000
mar,172,0,238.000000
mar,173,3,684.000000
mar,173,0,50.000000
mar,173,1,244.000000
mar,173,0,146.000000
mar,173,2,158.000000
mar,173,0,514.000000
mar,174,3,486.000000
mar,174,0,428.000000
mar,174,2,324.000000
mar,174,0,262.000000
mar,175,3,734.000000
mar,175,0,944.000000
mar,175,1,266.000000
mar,175,0,278.000000
mar,176,0,1076.000000
mar,176,1,114.000000
mar,176,0,676.000000
mar,177,3,640.000000
mar,177,0,292.000000
mar,177,2,120.000000
mar,177,0,408.000000
mar,178,3,732.000000
mar,178,0,172.000000
mar,178,1,270.000000
mar,178,0,738.000000
mar,179,0,1196.000000
mar,179,2,102.000000
mar,179,0,342.000000
mar,179,1,486.000000
mar,180,3,886.000000
mar,180,0,48.000000
mar,180,1,308.000000
mar,180,0,804.000000
mar,181,3,752.000000
mar,181,0,348.000000
mar,181,2,94.000000
mar,181,0,504.000000
mar,182,3,488.000000
mar,182,0,166.000000
mar,182,1,256.000000
mar,182,0,236.000000
mar,183,3,478.000000
mar,183,0,46.000000
mar,183,1,276.000000
mar,183,0,74.000000
mar,183,2,116.000000
mar,183,0,346.000000
mar,184,3,654.000000
mar,184,0,52.000000
mar,184,1,310.000000
